filename,Mild-obesity,Moderate-obesity,Normal-weight,Overweight,Severe-obesity,Under-weight
img_562_bmp.rf.73ed9c83584677320b3f769e04362c63.jpg,1,0,0,0,0,0
img_2017_bmp.rf.6f0fb3894eb774a487b31a2d0f24f6e7.jpg,1,0,0,0,0,0
img_564_bmp.rf.6665a5d10edebe7806f22a89e5ec383d.jpg,0,1,0,0,0,0
img_585_bmp.rf.76f5557a0551f2b10ca9f9a7224fe554.jpg,0,0,1,0,0,0
img_563_bmp.rf.8641d668cdcc22067041cefd1b9a2a82.jpg,1,0,0,0,0,0
img_565_bmp.rf.91181f47cc2eeede9dd4762e09fba6a2.jpg,0,1,0,0,0,0
img_568_bmp.rf.b943ed9fdff0ef5091a783c63b194df5.jpg,0,0,0,1,0,0
img_567_bmp.rf.d1984bbb9dff5392700c7e0b54bd24a0.jpg,0,0,0,1,0,0
img_571_bmp.rf.9b9f8fa006b393a22a2dff5c12134068.jpg,1,0,0,0,0,0
img_584_bmp.rf.fe5509bd8355a346e42b73adc723a4dc.jpg,0,0,0,1,0,0
img_603_bmp.rf.347fe5b3f1cecf1e7d4e4aefea008a9e.jpg,0,0,0,1,0,0
img_198_bmp.rf.2782b525454bbdf385933b46e3f1b227.jpg,0,0,0,0,0,0
img_606_bmp.rf.0a17f36cb2f978849983fc4f0e3e1e15.jpg,0,0,0,0,1,0
img_61_bmp.rf.3b917201a378c625c7ee04ac0e1ee457.jpg,0,0,0,0,0,0
img_610_bmp.rf.3fb33b0d4aa5958e078d65242689e4a4.jpg,0,0,0,1,0,0
img_611_bmp.rf.618eaeca0af68293e3405738ab1c3677.jpg,0,0,1,0,0,0
img_1990_bmp.rf.4aebab98fe91fc81fa2268623d297111.jpg,0,0,0,0,1,0
img_604_bmp.rf.4e58e3d6c5553c26388a742717f63293.jpg,0,1,0,0,0,0
img_1981_bmp.rf.7a77fe2173e6f1bed86263d8981c0593.jpg,0,0,0,1,0,0
img_1978_bmp.rf.98f06c70f69696a1c54c06e3fc56ec06.jpg,0,0,0,0,1,0
img_1983_bmp.rf.d9d53c53fc71bf9368577ab09669aa84.jpg,0,1,0,0,0,0
img_612_bmp.rf.a251050c31fc6b4c54856fb7ee6da286.jpg,0,0,0,0,1,0
img_1982_bmp.rf.f4fdad1189ad8625476d592b19c2cf54.jpg,0,0,0,0,1,0
img_559_bmp.rf.03fc1f16eca6f8da73db17b8d49bd30f.jpg,0,0,1,0,0,0
img_556_bmp.rf.229f772483f5f823dc123ead7c9a58df.jpg,0,0,0,0,1,0
img_560_bmp.rf.4f27a3d554c32725bc58692f052a4ac3.jpg,0,0,0,0,1,0
img_554_bmp.rf.55ce7e216cd49e475351cbcac333a58d.jpg,0,0,0,0,1,0
img_623_bmp.rf.7ae931c3d001bb5b13dc2c4ad46185b7.jpg,0,0,1,0,0,0
img_618_bmp.rf.8c89e640e0c7b9a0d00694cded66a06f.jpg,0,1,0,0,0,0
img_558_bmp.rf.96d9fedcdc9ed7c5d08c5510dec2a3e2.jpg,0,0,0,1,0,0
img_620_bmp.rf.7c27fdaaf7a68baed498b28b9f99aedf.jpg,0,0,0,0,1,0
img_2013_bmp.rf.8f9f59ed62f9bb80ace8017b47dc775e.jpg,0,0,0,1,0,0
img_561_bmp.rf.9ba71eaa71fce3d3e58eb5d25211cb69.jpg,0,1,0,0,0,0
img_2011_bmp.rf.991f15d9ffe9fc799531db72c6051d2b.jpg,0,0,0,1,0,0
img_616_bmp.rf.b9e3bcae879d1e6aa7559d9244ab0b18.jpg,0,0,0,0,1,0
img_615_bmp.rf.f316d3ca1923fb737f5d279c3e028336.jpg,0,0,0,1,0,0
img_581_bmp.rf.13a00ce6ae8c34def8511e6026b37e72.jpg,0,1,0,0,0,0
img_3456_bmp.rf.46735d86340ffb1a2b4780f3af5a0f01.jpg,0,0,0,0,1,0
img_589_bmp.rf.4596401841750cdb87307402a56af2a6.jpg,0,0,0,1,0,0
img_3457_bmp.rf.421ba2d59651dbd040bbc557569baacf.jpg,0,0,0,0,1,0
img_59_bmp.rf.5bbfc57da1db5b21dc6894fcd69df318.jpg,0,0,0,0,0,0
img_3454_bmp.rf.6b075879daed2adaf06a1423b6eae700.jpg,0,0,0,1,0,0
img_547_bmp.rf.5360965c74c9eff336d09985f4fd6a9f.jpg,1,0,0,0,0,0
img_546_bmp.rf.70c5defe41bf62ea867258bec2a8df7e.jpg,0,0,0,0,1,0
img_3452_bmp.rf.7722401dac29740e2ca32e7c25e3a9e3.jpg,1,0,0,0,0,0
img_3495_bmp.rf.8d367cbf8fa2531d00528a75b6c26922.jpg,0,0,1,0,0,0
img_591_bmp.rf.c34ce70076fba773395bbc8e452eaea1.jpg,0,0,0,1,0,0
img_549_bmp.rf.ccad6e0694d0c1eae40737caaf667a92.jpg,0,0,1,0,0,0
img_3455_bmp.rf.d14737c8600ca89fb9869f742d29abce.jpg,0,0,0,1,0,0
img_590_bmp.rf.f9db99a02b00a0e176a22fc67db95cf7.jpg,0,0,0,0,1,0
img_3451_bmp.rf.000f1de30a3300826a9b3875842ebdf9.jpg,1,0,0,0,0,0
img_349_bmp.rf.f04bc80b75b9e2a2cf13e17923db2f70.jpg,0,0,0,0,0,0
img_628_bmp.rf.4faa6efb28952481e68b90f7ec04f2c4.jpg,0,0,0,0,1,0
img_346_bmp.rf.2e33db8f402f4d75892870aa817b86f8.jpg,0,0,0,0,0,0
img_3463_bmp.rf.4c8c99ab7f73e547ab224313364fcb15.jpg,0,0,1,0,0,0
img_3462_bmp.rf.780efccb558cee3d556314b216bcf7d2.jpg,0,1,0,0,0,0
img_582_bmp.rf.5cdcf831eaacdaa1d05e8a0b78a5baed.jpg,0,0,0,0,1,0
img_3465_bmp.rf.4ba68d5ca40fb1d2f8f40b5b9551aa9e.jpg,1,0,0,0,0,0
img_588_bmp.rf.79228b772bc0f55c9c86888c38c0a0ba.jpg,0,1,0,0,0,0
img_3460_bmp.rf.9a22600945d8c2690faa33a8bafbc6ab.jpg,0,1,0,0,0,0
img_629_bmp.rf.a22590cc19062cede1ca5df52267b5a7.jpg,1,0,0,0,0,0
img_586_bmp.rf.d73a4e4ac6c442bc8dcdf603ab511d94.jpg,1,0,0,0,0,0
img_63_bmp.rf.b91a05f5f58f2427d5cc131693db8df4.jpg,0,0,1,0,0,0
img_3481_bmp.rf.4496bc89391e68849d69882125789ad5.jpg,0,0,1,0,0,0
img_3459_bmp.rf.e284ec8f8e72f4cc2e59415fcff64248.jpg,0,0,1,0,0,0
img_3479_bmp.rf.33392b88248c8d4a39266898844095fc.jpg,1,0,0,0,0,0
img_621_bmp.rf.4c93eda188e6f9eaf8b47f6dbac5de4f.jpg,0,0,0,0,1,0
img_3471_bmp.rf.5e7490c2cee4b52b2f818d0e9a823207.jpg,0,0,0,1,0,0
img_3487_bmp.rf.5aeebbaebfe78e3cb450c60ed89d0392.jpg,0,0,0,0,1,0
img_3470_bmp.rf.759d9425798b5767a6e036c31bd48478.jpg,0,0,0,0,1,0
img_3478_bmp.rf.8842d10457a7579cb0bc0e2375c65d4d.jpg,0,0,0,0,1,0
